Once	at a previous time
a	one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)
great	a person who has achieved distinction and honor in some field
Pundit	someone who has been admitted to membership in a scholarly field
was	work in a specific place, with a specific subject, or in a specific function
blessed	give a benediction to
with	UNK
a	one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)
son	a male human offspring
in	a rare soft silvery metallic element; occurs in small quantities in sphalerite
his	UNK
late	of a later stage in the development of a language or literature; used especially of dead languages
year	a period of time occupying a regular part of a calendar year that is used for some particular activity
He	a very light colorless element that is one of the six inert gasses; the most difficult gas to liquefy; occurs in economically extractable amounts in certain natural gases (as those found in Texas and Kansas)
named	charge with a function; charge to be
him	UNK
Hari	UNK
.	Punctuation
Now	in the historical present; at this point in the narration of a series of past events
,	Punctuation
in	a rare soft silvery metallic element; occurs in small quantities in sphalerite
Sanskrit	(Hinduism) an ancient language of India (the language of the Vedas and of Hinduism); an official language of India although it is now used only for religious purposes
,	Punctuation
the	UNK
word	a word is a string of bits stored in computer memory
Hari	UNK
means	an average of n numbers computed by adding some function of the numbers and dividing by some function of n
several	distinct and individual
things	any movable possession (especially articles of clothing)
like	resembling or similar; having the same or some of the same characteristics; often used in combination
the	UNK
sun	the star that is the source of light and heat for the planets in the solar system
,	Punctuation
the	UNK
air	broadcast over the airwaves, as in radio or television
,	Punctuation
the	UNK
moon	the natural satellite of the Earth
,	Punctuation
the	UNK
lion	large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
,	Punctuation
the	UNK
horse	a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa)
,	Punctuation
the	UNK
snake	something long, thin, and flexible that resembles a snake
,	Punctuation
the	UNK
parrot	usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
,	Punctuation
the	UNK
frog	any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
and	UNK
so	in such a condition or manner, especially as expressed or implied
on	in operation or operational
.	Punctuation
The	UNK
Pandit	UNK
sensed	perceive by a physical sensation, e.g., coming from the skin or muscles
that	UNK
his	UNK
son	a male human offspring
was	have the quality of being; (copula, used with an adjective or a predicate noun)
far	a terrorist organization that seeks to overthrow the government dominated by Tutsi and to institute Hutu control again
from	UNK
intelligent	having the capacity for thought and reason especially to a high degree
and	UNK
kept	maintain in safety from injury, harm, or danger
calling	ascribe a quality to or give a name of a common noun that reflects a quality
him	UNK
,	Punctuation
"	Punctuation
You	UNK
dirty	make soiled, filthy, or dirty
frog	any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
!	Punctuation
"	UNK
instead	in place of, or as an alternative to
of	UNK
