Bigram,polish,czech
sn,811,1348
„p,28,9
ý ,1,2
zh,7,340
jé,4,1
ýz,1,40
ml,194,1389
ą ,7,1
6:,7,1
le,10789,7306
ť(,1,2
ů:,1,3
rn,868,554
vz,1,598
ad,8583,3329
jż,4,1
2-,6,1
 n,6,2
rö,2,1
éw,2,1
ę(,2,1
"),3,1
“m,1,4
ćm,78,1
2:,22,24
(m,3,1
hu,353,1349
0s,2,1
ć:,6,1
łó,616,1
ég,3,1
'_,2,1
ń),2,1
 ż,8559,1
)t,5,1
"t,4677,3887
cy,3237,21
ěš,1,143
60,26,7
hv,1,175
vd,7,753
/b,3,1
lž,1,99
o“,1,5
ý),1,2
² ,2,1
"－,2,1
i:,22,7
»h,1,2
ąg,756,1
rą,761,1
​s,2,1
ač,1,793
čp,1,3
ht,15,722
)”,2,1
oa,54,43
-e,4,1
hk,5,44
# ,2,1
ça,1,2
“c,1,2
c”,3,1
ěř,1,485
fa,756,185
z",9,1
"“,1,2
oś,4834,1
ao,139,28
/a,25,2
ng,925,375
0$,1,2
át,1,2113
++,4,1
ęc,2449,1
“ ,3,43
12,34,8
/w,4,1
on,12955,2193
-w,8,1
żw,18,1
4g,3,1
hą,10,1
38,3,1
ňo,1,26
b:,1,2
-k,2,1
rw,1465,1
oń,1526,1
99,24,5
jr,400,21
ca,2826,78
fę,13,1
tv,4,1281
ós,326,3
sè,3,1
 j,23950,20514
mż,3,1
ęł,593,1
jď,1,103
y:,13,4
dt,60,74
żo,1264,1
ś ,5,1
ři,1,2783
hť,1,4
gd,2617,2
y",25,3
y(,2,1
úh,1,7
​c,5,1
we,3536,20
uk,1747,811
ph,22,7
…n,1,2
o ,44085,19977
'o,25,2
/s,2,1
ký,1,736
ął,998,1
vj,1,7
ś),2,1
« ,3,2
vý,1,1181
ūb,1,2
t;,1,4
ил,1,3
el,5964,5559
gh,16,6
ži,1,1570
lv,10,42
ę ,22807,1
yr,458,107
vř,1,287
ze,23663,2017
äp,2,1
+d,2,1
ýř,1,3
hę,553,1
żą,206,1
żn,1486,1
zn,5930,1304
ws,4628,3
aš,1,908
eč,1,1256
ór,2491,3
s',3,1
'e,39,1
68,7,3
ś/,7,1
03,6,3
ct,75,503
'j,2,1
ла,1,2
ł;,2,1
žc,1,11
zó,209,7
0€,2,1
u),5,1
'p,2,2
cm,16,4
ąz,372,1
ěď,1,64
zé,1,20
rp,277,139
ją,4245,1
od,14754,5848
źn,815,1
k),3,1
ćs,9,1
w”,2,1
ik,2558,2173
”g,2,1
ćb,30,1
ét,1,226
q),2,1
żi,31,1
70,14,2
82,2,2
ta,16836,6901
fá,1,161
fí,1,11
5o,2,1
ši,2,916
ůk,1,42
čs,1,15
ýu,1,6
er,8965,2415
łd,15,1
z”,5,1
ťo,1,8
„g,6,2
dá,1,1619
eł,842,1
nf,188,61
ýl,1,156
(4,2,1
ou,57,7217
dš,1,111
ža,1,117
cv,2,39
“l,1,2
ág,3,2
45,14,5
ęt,1216,1
37,3,1
s:,3,1
żk,1280,1
íz,1,455
"v,4,1409
zb,1108,341
"6,2,1
yť,1,14
í-,1,3
kň,1,2
dl,2355,1940
ůj,1,1215
„j,14,16
už,1,1674
zy,25522,446
óm,5,4
hn,573,1317
úv,1,11
aç,1,2
ěr,1,149
_',2,1
oz,3750,1965
ą”,2,1
is,5678,1307
em,20272,11588
íž,1,348
zd,2375,1277
xx,4,1
wj,13,1
bv,1,130
xí,1,15
hč,1,11
ly,40,1054
o-,21,4
él,1,43
mí,1,1517
še,1,2712
új,1,2
kı,2,1
ď ,1,583
94,14,10
řč,1,6
có,461,1
x ,20,9
15,35,5
js,1384,9597
ÿn,3,1
ęż,840,1
lň,1,20
łm,110,1
lh,2,207
--,2,1
rr,55,5
ka,11543,3849
9 ,23,11
42,2,1
ör,2,3
dż,284,1
l',5,2
łk,917,1
rs,1014,181
tą,914,1
ín,2,550
»d,2,1
ěm,1,236
i ,20011,15867
iw,2351,2
td,5,2
j),2,1
dň,1,5
yč,1,117
ší,1,1457
y/,5,1
eć,1640,1
wf,2,1
e),5,2
i),4,1
kb,126,8
„y,3,1
ół,950,1
 l,2,1
uç,3,1
…o,2,1
ei,134,26
’ó,2,1
zá,2,650
śc,3824,1
žá,1,612
iż,1042,1
łw,43,1
šm,1,6
zc,2805,34
80,21,5
ýs,1,73
l-,1,3
la,6715,8252
 s,9,1
`",2,1
én,8,247
ęb,335,1
mm,22,5
 §,1,6
vs,1,223
63,3,1
 t,8,1
aň,1,127
žď,1,6
"¨,1,2
že,1,6521
řb,1,26
ěs,1,611
ti,209,3848
iš,1,633
źż,3,1
zs,206,226
ę",24,1
 m,29340,14447
áv,1,1836
ež,1,991
ló,48,5
rę,1230,1
ůc,1,17
e‘,1,3
šc,1,8
úš,1,2
ą),5,1
íň,1,14
 ď,1,10
j",6,1
i…,2,1
ně,1,5189
kę,1961,1
já,2,512
ćo,2,1
– ,39,7
ce,5302,4001
r:,5,1
pš,1,261
ív,1,1084
t+,2,1
źw,87,1
ťm,1,7
şi,2,1
ni,54821,5095
j;,4,2
mů,1,2065
ru,2328,1345
pí,1,772
i-,9,6
r$,2,1
řt,1,16
ôt,2,1
św,1280,1
"j,2612,1826
"₤,2,1
a…,1,2
gá,1,16
"ł,33,1
šv,1,41
)ś,3,1
ąj,3,1
ść,3040,1
cp,4,19
í;,1,3
źl,216,1
vy,8,2831
 p,3,1
‎n,1,2
ť ,2,217
91,11,4
łz,44,1
ňa,1,14
óy,2,1
[g,1,2
be,1597,1355
@",2,1
) ,35,7
09,2,2
m ,31279,20712
ek,6727,3180
nn,1922,219
é',2,1
in,6110,2917
ec,8137,2879
ál,2,1599
rď,1,4
8),2,1
m(,3,1
ć/,2,1
wt,257,1
zí,1,749
mš,1,11
ip,147,269
č ,1,936
ąź,7,1
sň,1,8
či,1,1552
rz,22798,331
ův,1,291
ój,2483,3
05,4,1
c:,2,1
‎s,1,2
ił,6975,1
re,4330,937
4:,9,3
20,124,27
ęć,416,1
uł,433,1
źm,212,1
áu,1,3
s),1,2
uá,1,22
"«,2,1
я ,1,4
yz,877,96
ká,2,1532
 û,2,1
łe,9588,1
rż,96,1
ŕa,1,2
gi,2050,96
'w,2,1
“o,1,4
ás,4,1147
gů,1,6
bz,28,10
ąs,185,1
eň,1,183
ár,1,425
dů,1,599
b',3,1
tc,244,148
iy,7,1
-c,7,2
eo,266,279
ny,8001,1161
ry,6059,2117
“s,1,2
ul,1107,628
of,252,84
't,2,1
yf,53,10
í‘,1,2
j”,2,1
ić,4397,1
 9,33,4
 h,1163,3481
ró,3356,7
a;,5,4
ên,2,1
ma,14768,5103
 u,3,1
d",2,2
šu,1,103
vm,1,17
lł,2,1
š;,1,2
ô ,2,1
e',33,1
i/,3,1
«j,2,1
rš,1,313
o:,12,5
ys,6190,2311
k”,6,1
ld,42,11
ün,3,1
 y,51,32
ťt,1,20
bł,653,1
 —,5,47
żu,207,1
bu,2119,2947
šo,1,53
ua,244,74
no,6496,4586
př,1,4739
eš,1,2672
az,4235,828
 +,3,1
dé,2,454
0z,2,1
¨t,1,3
 z,8,1
a+,3,1
ďo,1,2
ya,52,12
uť,1,49
ej,10511,2939
uw,1073,1
ék,2,266
'a,74,2
-3,5,1
śr,351,1
ků,1,189
(p,5,1
ář,1,248
žp,1,29
čň,1,8
rh,2,115
wg,9,1
ue,31,7
ui,38,14
ł",4,1
tw,3946,8
„f,2,2
vo,5,3139
fn,19,3
%t,2,1
iе,2,1
ąw,3,1
gę,1512,1
aa,99,4
żż,2,1
sů,1,46
"2,2,2
－ ,3,1
cw,6,1
„u,2,1
8:,7,1
il,3106,5693
l",4,3
-p,10,3
/z,5,1
e ,3,1
ha,2518,1202
ič,1,843
łą,670,1
íř,1,141
zr,2693,285
eę,4,1
cí,1,689
;a,2,1
wi,25522,15
ь ,1,2
pd,2,2
žl,1,94
uś,400,1
-z,3,1
a“,1,3
w-,2,1
sk,5648,2043
ts,61,76
xp,1,16
śz,2,1
oh,321,3207
51,4,2
b ,594,92
„d,19,3
ěk,1,1158
‚m,1,2
l“,1,3
é",1,3
'v,2,1
úč,1,103
mr,187,343
vk,1,289
:s,2,1
pt,303,374
łs,25,1
řa,1,88
rá,2,4624
li,10942,6986
dc,411,296
ké,2,1080
yw,2306,1
tý,2,613
„b,10,6
iu,1774,57
yj,3073,91
ź;,2,1
bs,295,71
7-,2,1
ía,3,2
bk,494,46
"f,48,34
ďi,1,2
yř,1,168
am,14205,2276
gu,731,77
73,1,2
py,973,94
n-,6,1
m",16,5
pý,1,52
nr,9,8
 ż,5,1
ću,3,1
k-,5,1
kä,3,1
ců,1,47
h₂,1,2
