Bigram,spanish,portugese
äc,1,2
$1,8,10
* ,2,1
ō ,2,2
zh,20,25
jé,445,12
ml,17,26
–c,4,1
​e,3,4
rn,5130,5204
#r,1,2
x³,1,2
āp,2,1
#),2,1
2-,8,6
 n,4,7
rö,2,3
“m,5,27
"),7,8
ез,2,1
(m,5,13
/1,1,3
ég,95,193
éi,1696,258
‘p,2,1
dā,1,2
cy,119,83
«p,28,1
n6,2,2
60,68,68
hv,215,2
vd,14,12
o“,1,2
¿с,2,1
–h,2,1
² ,2,3
»h,4,1
ht,34,48
t/,2,1
oa,420,7022
-e,42,182
# ,1,3
sü,1,2
ça,9,12377
6),4,5
°f,1,4
 θ,1,2
"“,5,62
ng,15054,12111
às,1,1854
át,1195,1309
++,4,6
12,108,102
on,79658,58469
l¿,2,1
h0,1,33
6",1,2
rw,30,14
έλ,1,2
99,91,56
iʻ,3,1
ca,64682,66736
 ×,2,1
`),1,2
«r,2,1
sè,1,2
ης,1,2
y:,4,3
5",3,1
gd,39,18
y",20,17
úh,29,1
​c,2,1
we,174,131
ph,93,135
uk,121,74
o ,280598,391400
'o,4,13
6k,1,2
vj,1,2
h6,2,3
-',1,4
ка,1,2
ил,1,7
qo,2,1
el,104912,82681
hg,2,3
7p,2,1
lv,5287,2453
»",186,4
yr,13,16
ze,116,19067
+d,2,1
/(,4,2
им,1,3
στ,1,2
ór,365,2585
s',11,18
'e,8,30
68,13,13
$4,4,1
—",2,1
zã,1,456
“é,1,6
ла,1,4
zó,2511,7
»s,11,1
ê',1,3
'p,11,13
 1,1,2
¿w,2,1
ān,2,2
84,11,17
1t,1,2
ik,341,220
ét,579,675
fí,1929,1810
70,50,50
#p,2,1
w/,1,3
ск,1,2
ḥa,2,1
er,149280,129318
dá,470,2107
”;,2,15
n¡,2,1
nf,5090,3939
rŝ,1,2
(4,4,3
ou,340,55990
: ,1,2
mç,1,2
/9,2,1
u/,2,4
…",5,5
ме,1,2
ōc,12,1
 τ,1,2
"v,988,5580
qv,2,1
êb,1,199
dl,157,13
ñi,196,1
 -,2,1
óm,3802,42
óq,26,228
úv,1,329
я ,1,7
_w,1,2
_',1,2
oz,1751,3084
5a,2,1
is,32418,81012
xí,52,289
xx,51,45
zd,1,2
él,14492,308
‘ū,2,1
lh,45,27144
è ,1,7
rr,16965,18018
42,18,18
0g,5,3
ör,3,7
rs,8891,3828
»d,5,1
i ,26135,42002
fd,2,4
td,2,5
ον,1,2
n¿,4,1
x8,2,2
d7,3,3
3ª,1,3
kb,2,5
εx,1,2
uç,1,1190
»y,2,1
«k,2,1
–v,2,1
—c,10,1
0ª,1,2
l-,60,92
ər,2,1
 s,1,11
én,5385,146
¡o,193,1
ęb,4,3
:v,1,2
b–,3,1
u ,1,7
éñ,69,1
vs,6,8
63,10,11
 t,3,11
že,2,1
  ,1,2
あ→,4,1
zs,9,4
2ª,1,2
 m,116171,125001
áv,126,2765
«¿,258,1
đồ,2,1
¡1,3,1
já,143,5267
– ,29,309
ce,37996,27978
a¡,2,1
ív,49,2500
─c,2,1
şi,2,2
ni,22669,17586
e1,4,6
yx,2,1
ru,6243,5804
[l,2,1
pí,430,321
¿u,276,1
a…,3,3
ь",2,1
“f,1,11
gá,267,294
í;,18,1
vy,8,4
‎n,1,3
“e,7,30
e¡,2,1
сa,2,1
«d,13,4
91,25,34
óy,6,1
be,19369,21828
ä",2,1
mă,1,2
] ,3,5
»m,5,1
@",2,2
09,17,29
× ,2,1
&b,1,2
(q,3,12
m·,1,2
ec,35542,29235
g/,2,4
rã,6,2151
bú,581,121
8),3,4
‘q,1,2
wt,23,29
zí,5,39
ip,3526,2557
ён,1,2
hã,2,3760
«l,29,1
2%,10,7
ój,32,1
må,2,1
05,14,22
c:,2,7
4:,20,25
dâ,1,53
"«,210,2
¿h,1710,1
ká,12,1
gi,4983,6358
'w,1,2
“o,2,20
ás,18466,3255
h1,5,9
ár,1653,5393
b',3,1
ĉo,2,1
á",7,12
iy,27,11
í',3,1
eo,7215,2315
“s,1,27
“q,1,15
□ ,1,4
—d,36,2
j”,1,6
 9,129,115
ić,1,6
ró,4579,2229
aĵ,1,2
“à,1,2
j1,1,2
 a,1,17
ô ,1,360
i/,1,2
ys,50,28
hê,1,13
k”,2,2
 y,25733,275
 —,183,319
5–,1,2
:i,2,1
ua,16702,36427
sú,144,34
π ,3,5
@g,2,1
(^,1,2
eš,1,2
az,6151,16924
ya,7627,185
った,2,1
u¿,2,1
ej,11894,5536
uw,6,3
"3,4,6
'a,13,21
²-,2,1
ə",2,1
«g,5,1
(p,19,29
rõ,1,118
nç,8,6694
uó,96,1
 ñ,34,1
fn,4,12
rç,5,1135
lê,1,2264
^),1,2
"2,2,4
il,17025,16871
l",62,53
-p,46,192
f2,2,2
m²,3,3
ha,52704,35160
τέ,1,2
tê,2,2444
cí,3128,785
ñ ,2,1
3',1,2
ñé,103,1
pd,8,5
s»,11,4
/2,2,6
iõ,1,244
zâ,1,8
—;,4,1
sk,214,131
râ,3,291
ts,150,206
“d,5,15
oh,1471,671
r),11,18
b ,300,429
ő ,2,1
51,13,16
'f,2,5
nõ,1,7
'v,1,16
2 ,1,2
> ,5,6
ñó,347,1
rá,10539,10423
ké,20,24
fc,1,22
ôq,1,40
yw,11,10
êp,1,2
ов,1,3
`s,2,1
bs,995,1206
7-,3,1
ía,35898,1151
o¿,6,1
‘o,1,2
py,11,13
là,1,4
nr,671,414
yú,149,1
k-,4,8
ê",1,10
h₂,1,3
má,15453,2203
ns,14671,21116
eï,2,1
hp,5,9
«b,7,1
pã,1,978
uj,2797,609
 ö,1,3
허신,2,1
)/,3,1
"á,21,25
iâ,1,50
iï,2,2
cẽ,1,3
fx,1,2
ém,290,6758
2),2,4
¿s,1452,1
ен,1,2
n1,2,1
“ĝ,1,3
c ,188,192
)l,2,1
&",2,2
wr,9,5
lf,506,437
e”,4,26
¡d,488,1
c3,2,2
uc,14868,4846
c+,4,6
-g,12,45
íe,272,40
«e,59,3
ºf,4,1
9x,4,6
+i,1,2
e@,2,1
‎",1,3
r¡,2,1
lì,2,1
0℃,2,1
'l,3,4
 ^,2,1
uq,76,285
:m,2,1
if,4406,4496
 ∈,1,2
ań,2,1
 א,2,1
ñá,34,1
-6,2,4
e6,2,2
fâ,1,136
mõ,1,43
:1,3,1
hf,1,2
-√,2,1
”v,1,4
 _,3,4
nv,4019,4394
"₫,2,1
s",228,187
un,76724,19637
'=,1,2
"ĝ,1,2
-¿,45,1
úg,6,26
jí,42,1
a‘,2,1
a2,2,2
67,8,13
lã,1,410
 ĉ,1,4
aŭ,1,3
ná,258,1125
9h,1,16
h2,7,6
b",5,7
92,42,51
 €,3,3
1),7,9
ép,217,266
2²,1,2
 ω,1,2
mô,1,137
nt,92087,97923
¡c,493,1
 à,2,7719
@ ,2,1
y ,2,1
hj,10,8
-y,6,1
gg,29,19
çá,1,42
”j,1,2
3m,1,2
k ,386,361
fó,245,151
ów,2,1
= ,3,24
dn,82,52
y¿,2,1
σο,1,2
"c,3566,2461
cõ,1,24
ãi,1,3
óh,2,3
ηθ,1,2
as,108652,101255
56,21,21
¡b,163,1
ér,1664,2331
–a,4,1
cú,174,60
 ß,4,4
​t,1,2
s;,225,332
¡á,9,1
[я,1,7
(i,13,20
еn,1,2
or,77555,90591
οτ,1,2
a​,3,1
š ,1,2
ß ,1,3
 k,971,488
( ,10,2
eń,2,1
yo,9275,270
dd,22,20
¿y,685,1
hō,2,1
ss,178,66502
êv,1,5
ê:,1,3
ać,2,1
áy,23,1
wh,74,132
tt,204,174
ov,4187,10526
ņš,1,2
xã,1,165
tí,2583,1409
qa,10,9
bâ,1,12
eb,11422,6173
f",2,4
ll,39966,453
α ,1,2
zú,244,1
f6,2,2
85,21,20
gê,1,762
ς ,1,2
sl,827,644
90,72,81
0",5,1
но,1,2
kí,29,1
xv,28,46
ót,225,573
mw,4,5
tü,2,1
qw,2,1
 8,129,163
hí,1277,16
éa,139,6
ül,5,4
éy,3,1
lb,340,159
2d,2,1
x0,1,2
üm,3,1
 ŭ,1,2
‎e,2,4
wl,5,6
ña,7882,1
r&,1,2
);,2,17
)',2,1
