Quadgram,polish,czech
ic ř,1,6
 zas,540,287
esyj,6,1
ndar,30,3
stgr,1,2
pluł,3,1
zywę,2,1
ašep,1,4
czać,31,1
árně,1,24
 zaf,3,1
ávě ,1,158
nti ,1,24
"neb,1,127
 ose,3,3
zduv,1,2
unęł,10,1
yobr,83,1
ušti,1,25
ć il,7,1
ieś ,286,1
tade,1,4
rci ,45,2
m; p,1,4
ecif,1,3
jekt,88,23
deb ,1,2
mówi,1866,1
ipsi,2,1
uwia,2,1
e 40,2,1
enzj,4,1
ży g,4,1
"męż,20,1
ž vů,1,4
ć bó,10,1
ýšlí,1,30
wsia,39,1
nuro,2,1
zpín,1,2
uś o,2,1
lekr,15,1
“"na,1,2
ł ge,4,1
vači,1,3
té t,1,10
ří a,1,6
 dva,1,204
scze,2,1
v zr,1,3
ré k,1,13
"dva,1,5
dś c,2,1
ót o,3,1
ył e,5,1
ytke,1,5
id-1,1,2
than,2,3
a są,137,1
ża a,3,1
by c,123,14
o śc,24,1
lidn,22,49
nątr,98,1
epal,10,15
orsi,2,1
kaya,2,1
l mý,1,8
z: n,2,1
otto,2,1
ócic,3,1
ndą ,4,1
ass ,1,2
um t,9,2
ma 7,3,1
zví ,1,2
or p,10,7
uluj,13,7
kelů,1,3
cami,87,1
ísko,1,3
cvrn,1,2
aję",2,1
očte,1,2
urbi,2,1
dnáš,1,17
bo a,4,12
mani,79,13
"bůh,1,9
ieśn,15,1
tari,32,21
jčen,1,2
ulac,37,10
é es,1,3
ilně,1,36
ídno,1,6
adió,1,3
ělem,1,5
ombi,14,5
á do,1,91
50 o,4,1
tísn,1,2
"vas,1,2
óż o,4,1
bnie,136,1
svah,1,3
łom ,5,1
iełk,2,1
 hor,26,128
ybek,2,1
ví z,1,12
umel,1,2
 doj,94,34
siot,2,1
yjeś,5,1
 ból,83,1
ule ,8,10
hn'a,2,1
ícíc,1,12
 enr,1,2
żowc,4,1
u sm,1,26
luł ,2,1
říž ,1,5
pio ,7,1
dżié,3,1
iejm,14,1
fety,2,1
imul,1,3
waż ,129,1
álos,1,13
ře n,1,21
"ukr,16,5
secz,3,1
ykać,28,1
rwed,2,1
zzlo,1,17
uc j,1,2
k ev,1,3
ooke,1,3
rtów,14,1
bav ,1,3
ážít,1,3
5 še,1,2
ozpt,1,5
xíke,1,3
di r,1,5
zako,155,12
ěžké,1,99
 mlí,1,3
muba,2,1
 1 p,1,2
cto ,1,2
"ind,2,1
 ček,1,264
 ‚rē,1,2
ideo,22,15
 est,12,8
ping,27,2
o ps,84,84
e ss,3,1
wofi,2,1
ykro,83,1
mést,1,5
ę sk,127,1
emam,11,1
ůž t,1,3
řidě,1,5
tril,1,3
aslí,1,4
 łza,11,1
lien,36,5
ng t,2,1
já o,1,6
 kůž,1,11
ctém,1,3
zupy,8,1
eb c,2,1
ažel,1,2
í mz,1,6
řové,1,6
že d,1,56
babk,2,1
né x,1,2
espe,107,60
wiew,44,1
ílej,1,4
sudy,1,2
obav,1,21
íkáv,1,7
nd m,4,4
ydsz,4,1
rhal,1,12
órcy,2,1
ateb,1,4
egos,4,1
oteg,2,1
u dá,1,13
su i,6,1
bgry,3,1
ndář,1,3
ją ż,34,1
znak,103,8
arni,140,4
oň o,1,4
v ka,1,50
