Quadgram,spanish,portugese
ço a,1,321
e tã,1,227
baró,7,1
ñó q,17,1
ltda,1,2
ueas,2,1
ndar,622,763
razm,2,2
femí,2,2
mátr,2,1
 zaf,11,1
ndía,221,6
nti ,14,152
 ose,2,1
fisq,2,1
üe a,2,1
ry y,174,1
etst,2,1
l 9 ,4,1
i ec,6,2
tade,132,833
ihon,2,2
há-l,1,88
rci ,2,13
: ed,2,1
 exé,2,126
m; p,1,6
undâ,1,23
ecif,21,45
frad,6,8
rtot,3,1
é ky,1,2
lo 0,2,1
ipsi,7,2
e 40,30,34
rde”,1,2
níng,1,2
 ¡cá,3,1
r lá,8,469
dañi,22,1
ije:,11,1
-ace,1,2
hcar,1,5
rnho,1,5
nuro,4,3
huel,326,2
olsi,134,2
ivoc,462,37
nco»,3,1
té t,70,102
nvád,2,1
dígn,2,1
""cé,1,3
— o ,2,17
meci,24,43
/4 e,1,2
id-1,18,15
than,8,7
"mu",2,2
sota,9,86
by c,2,1
fé s,30,29
epal,6,14
hr d,2,1
aent,2,50
orsi,20,2
icçã,1,56
ya é,4,2
kaya,7,4
z: n,2,2
gne ,6,2
dorá,1,42
u/to,1,3
otto,3,5
aú f,1,2
idró,30,2
um t,3,1645
or p,1023,1150
imór,1,4
cami,1907,1522
76% ,1,3
ftsp,2,1
urbi,28,15
“nós,1,2
bo a,132,32
mani,623,286
ú "",2,1
 ert,2,1
tari,725,2685
seáb,4,1
"gas,7,7
amsu,3,4
 nít,4,12
ulac,102,3
hi-t,1,2
mófi,2,1
é es,1697,754
ídno,3,1
adió,130,1
«cul,2,1
""01,1,2
ombi,148,169
á do,66,479
é m/,1,3
50 o,1,3
tedu,2,1
"vas,12,6
 (de,4,13
 é 8,1,2
svah,2,1
o) é,1,5
0 17,2,1
 hor,2736,2898
umel,2,38
viña,9,1
jerg,6,1
ficó,51,1
sá y,2,1
pi-v,1,2
ln c,1,2
guál,2,1
siot,3,9
osóm,2,1
"due,12,1
ule ,9,26
 enr,73,90
voss,1,280
¡rus,2,1
mam;,1,2
jesp,1,2
u sm,2,3
erxe,1,5
az-t,1,3
més ,11,1
gmal,1,5
s (t,3,3
pio ,442,113
é xi,1,2
caym,1,3
yans,14,1
imul,65,84
eus ,6,5527
omaç,1,4
imaç,1,73
 da:,2,1
 en:,3,1
rsíg,2,1
tiaz,2,1
or é,113,453
ímic,130,234
eróp,4,1
órre,3,2
 16%,1,3
ooke,1,2
duas,3,1200
ah a,5,1
nêmi,1,3
di r,2,5
ergé,40,9
""sã,1,17
-rox,1,2
 cc6,1,2
cto ,968,97
rcor,5,49
"ind,14,13
bírm,2,1
 1 p,1,2
 toz,3,1
"a 1,1,2
oméd,1,30
ideo,164,69
barq,12,26
 est,44522,49872
ping,62,136
iqab,2,1
o ps,14,18
sia;,1,2
pigr,1,2
jé c,14,1
"dí ,4,1
e ss,1,2
2483,2,2
lkin,3,1
mést,40,55
emam,2,147
ú cá,2,1
rim;,1,2
tril,20,44
êner,1,43
lien,786,158
ng t,11,7
nmel,15,1
já o,1,151
ó si,246,1
m: u,1,3
"e d,1,33
eb c,4,1
ís n,46,31
rar;,4,3
 ∈ c,1,2
mhay,2,1
ll l,8,5
ríal,2,1
nçan,1,92
f-mu,2,1
espe,6207,7035
bié ,25,1
rão',1,2
zrit,4,1
tí y,8,1
peor,436,1
nd m,7,4
s-cr,1,6
gocé,10,1
alea,46,37
egos,229,179
lban,41,11
oteg,218,266
u dá,1,6
su i,324,1
tide,8,4
1397,1,2
rne:,2,1
arni,41,4
 lil,13,19
180k,1,2
lees,33,1
tráz,2,1
 yat,20,4
"dó ,1,2
í um,1,23
 ""s,252,385
os' ,1,2
"emí,1,3
k is,1,2
zafr,6,1
‎qua,1,2
uizo,36,11
aige,1,2
sgañ,2,1
ay f,51,2
eexp,4,1
ntiá,1,2
tást,75,88
a ĝo,1,2
anhó,1,23
"¿co,84,1
notó,34,5
achs,1,2
ercú,2,19
 yes,9,1
a hé,3,5
neé ,4,1
l ág,23,1
u lá,24,143
pio",2,3
1212,2,1
on $,2,1
i 10,3,5
ipóg,2,1
êndu,1,8
rd n,1,3
nsu ,3,1
- da,1,3
der:,4,2
ímio,1,6
""'',3,4
sofe,1,3
aer;,2,1
o iç,1,2
saná,1,2
uncu,2,2
omá-,1,7
rent,1389,1808
xei-,1,14
afin,29,133
athu,2,1
iduc,2,1
ldrá,78,1
d ín,2,1
víal,6,1
: '¡,2,1
az(e,1,2
z de,1044,995
kach,3,2
os b,1187,1008
muse,160,157
6 ve,3,1
dí h,10,1
kaji,2,1
jabó,48,1
(ima,1,2
fise,2,1
nso ,591,412
liér,4,1
utem,6,35
prox,175,302
plô ,1,3
buzn,5,1
zoar,1,3
m-lh,1,81
rguê,1,11
2 cu,3,1
farn,2,1
lena,553,113
s sq,1,2
ower,12,9
"''n,1,2
"lár,6,1
ry u,57,34
""ef,3,1
e-ko,1,2
ávat,31,1
oazi,1,4
ás j,169,8
n qa,3,1
rpul,21,2
1966,2,2
ulin,65,76
memb,18,173
nazm,2,1
ais",1,4
 10:,10,6
páni,42,1
mayu,36,19
pu n,1,2
mbec,2,18
ulax,2,1
bo d,428,136
て言った,2,1
altê,1,24
tro',1,2
ém p,1,508
 / l,1,42
ts-h,1,4
1 zo,3,1
06 c,1,2
xis-,1,3
ecá-,1,2
46 p,2,1
ahh",2,1
caço,1,31
e es,2,1
25 k,1,3
 – d,3,15
hank,4,1
3 o ,2,1
úa a,10,1
nse ,227,193
arão,1,480
nal",6,8
/h a,2,1
87 y,2,1
día ,2622,2
ste",7,4
í tu,40,2
lavó,49,1
mazz,2,1
ldía,6,1
eeli,2,1
rsin,1,14
oliç,1,5
fe r,8,4
óseo,2,4
ns s,5,192
 (22,2,1
salg,225,57
umbi,32,46
+ é ,1,4
scú ,9,1
ob g,3,3
rry»,2,1
às ó,1,2
etám,2,1
sgoi,1,2
ry i,35,31
aaaa,2,5
sout,2,3
rvia,1,39
jo-l,1,20
dées,2,1
iuma,1,2
ías:,3,1
o cl,145,323
+9+8,1,2
uxox,1,2
idér,8,2
 i d,6,3
cobi,15,20
¡cep,2,1
dasa,2,1
funç,1,109
róge,42,5
rry ,40,43
i: u,1,2
oyam,7,1
ia 5,2,11
sees,15,2
xxi:,1,2
ucão,1,2
bumb,1,2
 ail,2,1
ecé ,77,1
only,2,1
ún r,61,1
tar“,1,2
kaku,2,4
a o ,1,2
en ó,11,1
 84 ,2,2
""ji,1,2
notá,2,34
orps,2,1
um-u,3,1
deem,2,37
eñón,2,1
boro,33,37
bó f,4,1
sádn,2,1
lwau,1,2
giss,1,17
odi ,1,4
¿y e,32,1
zes ,4,1373
«alh,1,2
irta,7,33
scam,74,54
iést,1,2
«¿es,14,1
 vis,2629,2010
brup,11,4
í as,5,6
ulsõ,1,5
zabi,2,1
"soo,1,2
1ª d,1,2
 — ¡,2,1
isky,25,4
"mae,2,1
cy m,4,3
sere,160,581
tes”,2,2
yerí,17,1
ncóf,6,11
egló,22,1
eteb,5,10
kiel,4,3
»ten,2,1
 ído,8,19
rsi ,3,1
sde ,1496,691
y dv,2,1
«sob,2,1
z ao,1,55
córd,5,43
yu p,2,1
m cd,1,6
ésam,13,3
aéme,2,1
 onz,6,72
quem,288,4813
o (^,1,2
"ar ,1,2
ou b,1,562
8 dó,2,1
usel,19,1
 bug,9,15
 giz,3,40
nfre,141,79
bó a,24,1
xe-d,1,2
m ne,130,620
exto,212,304
f nã,1,4
bet-,1,2
emi-,3,1
 asa,132,139
ádo ,2,1
 vá ,2,365
ú ir,5,1
lgav,1,7
lipi,36,23
azuf,7,1
ocre,32,12
esib,12,1
s éd,2,1
"«¿é,2,1
ca-o,1,4
cára,4,1
ede ,4120,346
d (n,2,1
xcru,1,3
