Trigram,polish,czech
 mé,1,290
ery,546,25
owś,7,1
t š,1,47
ąb ,22,1
będ,1875,1
ech,1579,1954
rtw,232,2
mpa,50,16
ztl,2,14
…on,2,1
mjd,1,2
moc,1322,1048
h t,133,276
94 ,2,1
íví,1,27
– p,7,1
s f,12,8
r k,24,8
nam,1044,192
r y,3,1
vyž,1,31
srk,1,3
y"z,2,1
íd ,2,2
čiš,1,11
yśł,2,1
120,7,3
tyn,135,1
že ,1,4655
im",2,1
bły,41,1
dře,1,32
ká ,2,356
ks-,2,1
rtr,14,4
w -,2,1
żim,2,1
n z,544,175
żć ,2,1
 bo,1366,653
ínk,1,25
s o,88,140
ośl,116,1
i x,4,1
móg,712,1
s k,37,120
ójd,195,1
n e,26,3
ięt,650,1
nus,16,21
edą,3,1
coc,8,2
zám,1,23
otí,1,33
e ś,352,1
zua,4,1
ň m,1,25
t” ,3,1
oxa,2,1
poł,590,1
ilu,59,228
ůbě,1,5
y« ,1,2
2 t,7,1
ě t,1,413
xpl,1,6
"13,2,1
"uv,1,22
ją”,2,1
ry ,2167,1207
3 o,4,1
żac,23,1
-za,2,1
how,359,1
h i,106,5
+de,2,1
gzy,2,1
vap,1,112
cií,1,7
tků,1,3
plc,1,2
poň,1,41
dyn,396,1
iig,2,1
ěhe,1,50
ôtr,2,1
 že,1,4539
hoz,1,16
utu,27,23
uś ,18,1
ont,305,94
ąkę,7,1
pi…,2,1
mao,3,1
šíc,1,31
cu ,293,1
'mu,2,1
sol,193,24
ama,625,381
tuj,418,306
vůl,1,107
e i,759,87
"u ,8,5
cch,1,2
boi,105,1
se ,21,7098
5 k,7,2
asn,357,136
zít,1,320
žbi,1,2
oje,3132,1024
óde,17,1
1 ł,3,1
2-g,2,1
zb ,2,1
epš,1,246
 my,797,448
kiw,143,1
łże,52,1
on),6,1
 zí,1,203
smu,130,105
ojo,51,29
lav,2,462
pic,102,35
žíz,1,43
šty,1,3
"nó,2,1
ý ",1,2
roi,48,6
esł,96,1
pán,1,65
čeř,1,83
kýb,1,3
g s,34,1
seň,1,36
víč,1,24
zfa,1,2
izá,1,5
łaś,855,1
iog,10,3
uča,1,23
ýči,1,2
chý,1,35
ěpo,1,49
y š,1,29
nys,1,5
aká,1,105
 pa,3642,605
pěv,1,37
tni,1214,49
któ,1602,1
esi,785,34
x d,2,2
áno,1,239
li:,5,1
“ná,1,2
níř,1,2
ívč,1,3
rha,1,17
ťát,1,4
er”,2,1
ryś,19,1
„kt,7,1
ovy,1,70
oct,4,128
akz,2,3
n ú,1,8
ówk,325,1
ębą,2,1
cas,42,13
s: ,3,1
pur,22,6
„ch,5,2
eżę,17,1
róż,592,1
ycó,5,1
ę j,734,1
ewo,192,1
riń,2,1
očů,1,4
/ch,3,1
ażn,538,1
jom,98,1
rýn,1,2
ya ,5,5
hęt,76,1
uzk,15,11
e' ,3,1
umc,4,1
yśn,3,1
vép,1,3
ý o,1,58
