Trigram,spanish,portugese
rtw,2,3
94 ,4,2
s f,4827,9130
ém",1,7
y-p,2,1
rtr,61,37
he:,1,21
réd,89,313
s o,3975,8144
otí,19,450
 -a,4,1
coc,2735,176
2x ,1,2
¡¡i,2,1
íes,96,1
f u,1,2
o-í,1,35
 ‒ ,1,2
h i,4,2
hoz,12,1
çar,1,1587
ecã,1,7
"—n,6,1
“ri,1,2
mao,14,19
cu ,2,14
'mu,1,2
sol,7045,2983
rye,1,2
cch,6,3
r— ,2,1
tél,32,37
ntm,1,2
 my,6,7
tbs,1,2
2h ,1,3
kiw,10,3
 zí,2,14
 dã,1,90
on),1,2
úbr,16,1
izá,314,26
(ta,2,3
esi,5655,1158
vôm,1,5
rha,2,1
õro,2,1
éem,26,1
cas,11047,10450
v w,2,1
4 x,2,2
íjo,3,1
tód,12,19
clu,892,587
fi-,1,8
"hó,1,3
na-,4,59
sês,1,3
ma ,6449,29544
gui,3996,3124
énd,313,1
(um,1,6
¡sú,5,1
áet,11,1
rix,4,8
"εu,1,2
cê ,1,3
"oi,10,72
têi,1,5
cet,216,199
 #3,1,2
ŝan,2,1
ts",2,4
eod,9,10
láx,1,38
kob,38,26
-aç,1,6
rá”,2,1
w f,1,8
i» ,2,1
- ¿,11,1
(ex,1,3
s ¿,11,1
nyt,2,1
eoy,3,1
ú c,95,2
p e,23,13
m; ,4,69
1 r,1,3
áro,7,8
uge,120,229
ño:,3,1
him,111,93
yer,1814,16
-ad,3,2
z-m,1,45
 ¡e,161,1
237,1,2
ú k,2,1
o’ ,2,1
dc ,1,2
j r,8,2
súd,1,5
ους,1,2
«is,1,3
saw,3,2
— f,1,6
cea,96,194
ayg,1,3
trb,2,1
' s,5,12
súp,13,6
-ng,2,1
-er,4,2
nsb,12,29
ozh,2,1
pôd,1,215
acp,1,6
 jl,4,1
yad,55,1
pre,16288,23845
der,7205,8370
 ép,2,1
"od,43,25
959,2,2
čka,2,1
úal,4,1
fê-,1,7
x-s,1,2
651,1,2
faí,1,4
nto,15959,19521
80k,1,2
523,2,3
rtó,323,13
au),2,3
 gr,5589,4994
i -,2,6
zpo,1,2
""π,2,2
n =,2,2
¿ol,4,1
b t,14,16
ebu,65,31
¡fr,2,1
ürk,2,1
hã",1,2
ulr,2,3
726,2,2
éns,17,78
n b,4275,33
upé,31,14
po;,16,11
ço”,1,2
esk,2,2
2-0,3,1
trõ,1,7
mo',3,6
pm ,1,2
ja-,1,24
uha,14,5
éry,4,4
édé,2,2
lza,120,4
004,7,12
eno,4714,2855
re:,18,16
 g3,2,2
¿za,3,1
cxu,1,2
""ˈ,2,1
k-k,1,2
126,1,2
"«o,2,1
" g,3,2
42%,2,2
fré,16,3
ilp,5,1
y²=,2,1
ceç,1,71
u a,1471,13761
nú",2,1
«¿t,19,1
nfé,8,3
plo,668,787
dav,1726,291
fie,1794,174
tiá,8,7
avó,65,318
mäm,1,2
chl,6,11
çõs,1,2
 th,36,51
ohr,8,18
pot,242,227
0s ,2,1
nfi,882,1272
ov-,3,1
 ra,3267,2751
a¡d,2,1
xy ,4,5
 hd,1,17
pev,1,3
cáz,6,1
óch,30,1
mvi,1,2
rab,6263,4760
9ª ,1,2
ssu,3,1331
pbu,2,1
otv,2,1
uñu,6,1
úmi,1,39
s z,486,47
a"t,1,2
oés,2,2
e /,3,121
frí,857,13
é h,1785,431
nga,2009,1305
côn,1,30
979,3,4
cín,22,47
'pa,2,3
ilc,18,1
ñil,14,1
juc,3,4
tvi,2,2
ahl,3,3
0 a,192,179
"oy,35,1
osf,33,80
ã l,1,13
viā,1,2
s u,11637,3071
owd,3,2
díz,1,4
 bd,2,2
lvê,1,22
tué,5,2
ô q,1,8
t -,1,2
lbo,39,29
сie,2,1
irá,972,986
 ex,6738,6276
é à,1,134
eíc,1,56
ei»,1,2
cok,3,1
ckt,1,3
g z,1,2
438,2,2
223,1,3
66 ,3,3
new,33,40
ata,4214,4011
abe,7863,9066
caa,1,6
ir",7,7
zo-,1,3
ríd,9,20
cíe,4,1
@gm,2,1
a-g,1,13
g w,1,2
 tv,44,261
gas,2663,1591
pos,3395,8775
¡és,6,1
:10,3,1
 fa,2,3
"gé,1,3
 mn,1,2
n –,2,2
oeb,406,430
cím,6,5
nré,2,1
'm ,1,2
izm,19,213
okk,49,17
;"v,1,2
amz,2,5
wet,1,2
 a ,1,6
¡tu,22,1
cim,1042,1088
tek,2,3
uoc,1,7
¡dé,47,1
kpo,3,2
'fi,2,3
tiç,1,283
‎fa,1,2
laç,1,570
 cô,1,78
 an,6280,9798
he',1,2
4oí,2,1
ps:,1,3
hóf,8,1
x-n,7,13
ião,1,1874
-mu,9,16
(di,2,3
cíc,9,167
"is,10,805
io),2,5
“en,3,5
iót,41,33
c6h,1,2
rtl,2,1
s' ,2,5
océ,198,3
uko,43,27
ró—,3,1
u-h,2,1
“ho,2,1
”el,1,2
—un,2,1
dov,4,30
aíc,23,2
ize,5,4675
pea,316,66
mep,1,3
ko”,1,2
híc,125,1
uzy,4,1
o-c,10,20
ô r,1,2
ozt,5,1
leç,1,133
últ,1278,1015
ngc,2,1
ma),5,4
b r,3,6
anc,5855,5225
'de,6,12
"—y,3,1
co;,11,21
ñán,11,1
onk,2,1
 g1,3,4
ema,7021,5763
»la,3,1
оск,1,2
gúc,1,2
lês,1,1610
vár,10,714
"o',2,1
dú;,2,1
esü,1,2
ífi,409,253
 iv,30,9
é 8,1,5
iél,45,1
p"",8,4
ô à,1,4
xág,2,9
ggu,3,1
hty,1,2
ápe,5,1
tc ,2,3
50c,1,2
ha ,1,2
(un,6,1
–¡r,2,1
 fm,2,3
 ¡1,3,1
mil,2468,1353
e ​,3,2
8 c,7,5
igo,5366,7275
va:,2,15
 5),2,1
hay,6186,4
viu,42,1232
ôr",1,2
gré,57,74
koo,3,1
20$,2,1
 “r,1,4
hie,430,21
lí:,2,1
""j,40,101
asf,41,26
io–,3,1
don,2163,630
¡95,2,1
ouc,7,3043
 gt,1,2
ivó,22,45
so-,1,15
91 ,2,2
uvo,1302,65
430,1,2
¡ch,30,1
ço ,1,2518
454,1,2
 ba,1,2
gai,26,178
ubá,5,7
''g,2,2
cno,99,84
'oc,1,2
 an,1,2
 tr,1,5
téf,2,1
 nu,7505,4468
964,6,5
""6,1,2
(ac,1,3
omm,9,7
nér,22,28
eli,3959,3786
3 p,12,8
 2 ,1,2
/ j,1,17
aún,1015,1
"'e,1,3
58º,1,2
"ué,1,2
kfl,1,2
"¿c,899,1
iña,629,1
 54,10,10
… q,1,2
bou,10,668
39%,1,2
(= ,1,11
"5 ,1,3
 ed,1248,494
ndf,1,2
81 ,7,10
mdi,2,2
jíe,2,1
 :-,2,1
32-,2,1
i e,1975,3440
ubk,2,1
uíf,1,2
3 q,2,6
ófa,16,5
k u,3,5
rac,3641,1002
tís,94,110
7) ,2,1
0g ,5,1
ô é,1,16
c p,10,13
er",24,28
ógi,274,703
-fé,1,4
216,3,2
ako,43,27
ryv,1,2
511,1,2
zia,2,547
-fl,1,11
2π ,1,3
“op,2,2
722,2,1
hoi,2,2
ofó,28,15
gdá,1,2
cão,1,401
ucã,1,2
iáf,3,3
afé,904,1071
dìd,1,2
set,203,761
uly,1,2
сom,2,1
" l,10,2
tóg,38,49
ára,216,181
0hz,1,2
s 7,44,35
alp,83,112
pki,3,4
spl,158,72
dbi,2,1
fón,140,5
s [,1,2
319,2,2
dme,131,1
"eb,1,2
toc,1062,1230
70 ,15,16
âmb,1,40
ndw,73,1
bód,1,2
ích,3,122
úse,2,1
( ^,2,1
iia,1,2
 ôn,1,832
udú,6,1
ms ,10,22
jav,20,137
212,3,3
z-s,1,92
hee,2,6
547,2,1
bab,530,74
rní,16,8
' d,1,4
 na,8308,19400
: á,2,2
pô ,1,5
viú,1,47
 ía,1,19
– c,2,12
 te,1,5
g e,62,16
 wh,73,131
–pr,3,1
aox,1,2
"'c,1,2
ône,1,12
o"o,1,2
es ,77158,24348
rly,2,5
я] ,1,2
 e ,1,10
)te,1,2
ro’,1,2
ic-,5,1
éte,82,66
¡gr,48,1
hic,2877,145
izv,1,3
¡tó,8,1
só:,2,2
law,6,5
azê,1,285
"sm,2,1
z 1,1,10
xas,16,267
wo ,3,2
rnó,27,2
0 y,95,2
à n,1,878
gên,1,644
baz,51,3
yow,2,1
-ch,1,262
ipu,107,59
'gr,4,1
võe,1,16
pag,1489,1346
zzi,2,3
dhi,15,7
mov,490,524
ors,43,35
 -b,3,1
e b,3693,4169
h4 ,1,2
vía,2172,55
–ch,2,1
¡ro,4,1
k-i,1,4
e k,160,88
l"q,1,2
3d),1,2
vír,8,130
iot,681,651
53%,2,1
843,4,3
ל n,2,1
""p,519,726
-y-,3,1
¡ig,4,1
 l5,1,2
r n,1981,5181
sdo,1,11
”"",2,6
 —a,5,1
lco,227,197
am ,85,17003
rsp,31,26
ón:,37,1
ust,11012,2976
 js,2,1
“vó,1,2
zeu,12,16
rcê,1,10
 zê,1,3
min,5799,12635
»de,4,1
 p ,2,2
 5 ,103,104
 xá,1,2
ap ,7,6
670,1,2
 é ,1,2
ne ,8668,1205
r ó,15,34
swf,2,4
br-,1,3
uch,9589,37
ipz,3,2
moo,2,3
 «¿,67,1
auk,1,4
pes,2047,5754
éni,75,55
osy,1,3
 ¡j,13,1
s-t,1,24
isr,116,178
céa,102,1
ink,25,32
áct,342,25
aks,14,3
rtá,56,236
plú,2,1
"am,97,237
elc,12,7
iaș,2,1
19 ,1,2
é k,3,16
rír,3,1
cód,66,51
pál,64,92
tse,3,2
rad,7126,7357
á x,1,3
"mú,3,5
¿ e,3,1
io-,7,138
¿mo,4,1
azó,1395,5
fán,5,2
go;,10,14
tt",2,2
¡ u,2,1
 dh,2,1
dqu,95,101
mõe,1,43
¡co,133,1
r-t,1,250
gún,1679,2
 52,1,4
nós,45,6259
 ‘p,2,1
n i,2967,11
úll,16,1
e (,15,39
uis,1269,1690
e p,21950,19367
ayw,1,2
/ou,1,3
teu,9,1971
¿te,1441,1
k's,2,1
"e",1,5
ñe;,3,1
¡au,9,1
ncé,1515,2
-ap,3,2
"pá,25,7
"fr,41,32
evs,4,3
o-e,10,58
ce ,8030,3766
8h4,1,4
rax,4,16
aip,20,22
 [q,1,2
daa,5,4
"¡v,102,1
o; ,240,399
kir,14,11
emn,26,7
ddo,2,2
16º,2,1
oen,20,775
""и,1,3
ve:,4,5
plí,75,16
⁰¹³,1,2
ая",1,2
'to,2,4
r ú,43,58
«fr,2,1
no’,2,1
swa,14,10
aś ,2,1
 μm,2,1
ruh,2,3
yás,3,1
$ 6,1,3
ia;,11,41
o p,21695,31538
zañ,15,1
w h,2,2
stv,2,1
– o,1,20
-ec,1,2
: ú,3,1
vex,2,4
-3 ,2,2
d) ,1,4
eió,2,2
i l,1344,553
y c,2,1
"ic,3,2
% m,9,2
aoz,5,1
: à,1,3
óic,1,4
óst,58,37
44 ,6,10
é"",7,4
je-,1,13
ouv,13,2528
aiú,1,17
ê á,1,5
çou,1,1071
anõ,1,6
-ai,1,5
peñ,71,1
ó s,1796,171
lóc,5,2
 39,3,10
 hã,1,16
ctu,1015,38
cc ,3,2
"“q,1,5
yōe,2,1
cob,300,1214
apô,1,8
rdé,72,2
npa,3,6
–le,3,1
ane,2512,3082
vai,149,5530
ínt,88,65
ádn,3,1
zeg,3,6
-lh,1,1159
irã,4,240
med,3189,1992
lío,37,2
oeu,8,21
ual,2703,4428
ânt,1,159
mud,222,1321
) i,2,4
2 c,7,6
géd,1,38
ôns,1,11
tox,22,22
feé,2,1
/el,1,22
en-,4,7
"ox,1,12
 '_,1,2
unó,19,2
04 ,5,8
o à,2,1261
bmx,1,3
i/p,1,2
lhi,5,206
io;,13,20
sfo,179,511
oar,35,362
zôn,1,25
cse,1,2
9% ,3,3
 g/,1,2
º 9,1,3
mén,13,25
xór,1,2
977,5,9
- c,12,23
 'h,3,3
acr,202,1904
aiw,12,6
(am,2,1
ta’,2,1
e á,200,476
«¡l,4,1
(fi,1,4
lf-,1,2
("",5,5
 ên,1,4
36-,1,2
-mc,2,2
ron,9506,1724
gif,4,4
loñ,2,1
ndí,604,74
sáv,1,273
lva,747,465
lã;,1,2
gya,1,3
caí,273,188
"'",1,2
²⁰¹,1,2
тer,2,1
i 5,2,10
chr,34,28
d y,276,1
4"",4,2
net,679,1161
gul,579,765
 tz,3,1
abl,9018,36
―¡p,3,1
neó,31,1
¿ud,2,1
d7 ,3,3
'as,1,4
ëri,2,1
s n,4,2
35k,2,2
889,3,5
y p,2510,380
be:,2,3
und,3964,4597
 no,3,2
ù é,1,2
rao,115,93
uío,2,1
oni,1589,1310
tyr,2,1
87%,2,1
ío–,2,1
sbó,2,1
n j,1264,22
ígr,139,4
14:,10,23
ie:,3,2
958,5,3
azi,32,579
s:",2,3
y ",57,1
197,42,49
ra—,3,1
ípt,9,4
 a3,4,4
tá:,3,1
; j,3,9
 $7,1,2
emã,1,538
 ia,18,421
404,4,2
 gd,7,2
 gô,1,3
mpé,7,63
mhi,1,2
sab,7312,8184
¡iz,2,1
spy,1,2
p 2,1,2
aí",1,3
9h3,1,3
reu,634,1563
sms,6,6
rrâ,1,25
rî",1,2
eob,2,1
1 q,1,4
[qu,1,2
dem,4029,4775
p: ,2,2
5º ,2,5
447,3,3
m'",1,2
» –,2,1
tuó,35,1
nar,4872,2790
dl ,3,3
