Type	Rank	Predicted Relative Frequency	Actual Relative Frequency
,	1	0.11048018373142775	0.07740899357601713
.	2	0.055240091865713874	0.050481798715203426
the	3	0.036826727910475913	0.023019271948608137
'	4	0.027620045932856937	0.01951284796573876
and	5	0.02209603674628555	0.016220556745182014
of	6	0.018413363955237957	0.015417558886509636
to	7	0.015782883390203964	0.015417558886509636
:	8	0.013810022966428468	0.015123126338329764
I	9	0.012275575970158638	0.014801927194860814
you	10	0.011048018373142775	0.01282119914346895
?	11	0.010043653066493432	0.012285867237687367
a	12	0.009206681977618978	0.012018201284796574
my	13	0.00849847567164829	0.011643468950749464
in	14	0.007891441695101982	0.009609207708779443
it	15	0.0073653455820951825	0.009475374732334048
Ham	16	0.006905011483214234	0.0090203426124197
is	17	0.006498834337142809	0.008137044967880086
;	18	0.006137787985079319	0.00797644539614561
not	19	0.0058147465121804074	0.007655246252676659
his	20	0.0055240091865713875	0.007119914346895075
And	21	0.005260961130067987	0.006879014989293362
that	22	0.005021826533246716	0.006879014989293362
your	23	0.00480348624919251	0.006236616702355461
this	24	0.004603340988809489	0.006209850107066381
me	25	0.00441920734925711	0.006076017130620985
d	26	0.004249237835824145	0.005968950749464668
with	27	0.004091858656719545	0.005674518201284797
Lord	28	0.003945720847550991	0.0056477516059957175
him	29	0.003809661507980267	0.004764453961456103
be	30	0.0036826727910475913	0.004710920770877944
King	31	0.0035638768945621853	0.0046038543897216275
for	32	0.003452505741607117	0.00452355460385439
haue	33	0.0033478843554978106	0.0043094218415417555
he	34	0.0032494171685714043	0.004282655246252677
but	35	0.0031565766780407927	0.0039079229122055675
so	36	0.0030688939925396595	0.003881156316916488
as	37	0.0029859509116602094	0.0038008565310492506
The	38	0.0029073732560902037	0.0035599571734475375
will	39	0.0028328252238827623	0.003506423982869379
on	40	0.0027620045932856938	0.0032922912205567453
s	41	0.0026946386275957987	0.003265524625267666
That	42	0.0026304805650339937	0.0032119914346895075
our	43	0.002569306598405296	0.003158458244111349
-	44	0.002510913266623358	0.0031316916488222696
what	45	0.0024551151940317277	0.0031049250535331906
are	46	0.002401743124596255	0.0030246252676659527
To	47	0.002350642207051654	0.002917558886509636
shall	48	0.0023016704944047446	0.00278372591006424
But	49	0.0022546976271719944	0.0027569593147751606
Hamlet	50	0.002209603674628555	0.0026498929336188437
we	51	0.002166278112380936	0.0026231263383297643
Hor	52	0.0021246189179120723	0.002542826552462527
What	53	0.0020845317685175046	0.002542826552462527
all	54	0.0020459293283597727	0.002542826552462527
thou	55	0.002008730613298686	0.0024892933618843685
by	56	0.0019728604237754955	0.00243576017130621
no	57	0.001938248837393469	0.00243576017130621
her	58	0.0019048307539901335	0.0024089935760171306
t	59	0.0018725454869733516	0.0023822269807280516
do	60	0.0018413363955237956	0.0022483940042826553
